id;medio;ola;anexo;poblado;bienestar;corona;edad;sexo;origen;estado.civil;religion;jefehogar;vinculo.jefe;educ;educ.hoy;educ.hoy.tipo;personas.hogar;joven.estudiando.hogar;tiempo.escuela;tiempo.salud;trabaja.fuera.hogar;tiempo.trabajo;agua.potable;electricidad;internet.fijo;empleo;empleado.act.agropecuarias;empleado.no.agropecuario;cp.act.agropecuaria;cp.act.no.agropecuaria;jornalero;patron.agrop;patron.no.agrop;empl.domestico;empl.gob;empl.principal;pago.justo;lab.no.remuneradas;act.no.remuneradas;vivir.bien;juventud.aporta;educ.formal.trabajo;condiciones.prod.agricola;trabajo.infantil;empleo.calidad;capacidades.humanas;nuevos.empleos;acceso.tecnologia;preocupacion.alimentos;alimentacion.saludable;comido.menos;querer.estudiar;educacion.sirve;acceso.educacion;vida.saludable;acceso.salud;salud.mental;acceso.transporte;caminos;vivienda.apropiada;acceso.internet;cobertura.internet;sistema.salud;decisiones.economicas;labores.hogar;comunidad.valora;mujeres.violencia;mujer.trabaja;mismo.trabajo;salud.reproductiva;mismas.oportunidades;igual.salario;servicios.salud;transporte;act.comunitarias;trato.trabajo;trato.fam;caminar.solo;apoyo.comunidad;tiempo.familia;visiones;espacios.abiertos;juventud.participa;juventud.surge;municipios.trabajan;instituciones.presentes;comunicacion.autoridades;empresa.aporta.bienestar;estado.dialogante;empresa.dialogante;soluciones.colectivas;confianza.familia;confianza.municipalidad;confianza.gobernadores;confianza.jueces;confianza.policia;confianza.vecinos;confianza.com.campesinas;confianza.empresa;participa.org.local;org.local;valoran.formas.vida;intercambian.saberes;recursos.distribuyen.equitativa;politicas.reconocen.comunidades;condicion.bosques;condicion.tierra;condicion.rios;condicion.aire;condicion.mar;prod.respeta.ambiente;prod.adecuada.salud;tiempo.descanso;espacios.recreativos;disfrutan.naturaleza;preocupacion.mediambiente
387;telefonico;Base;Vichayal;Vichayal;Buena;Ni mucho ni poco;49;Hombre;Mestizo/a;Casado/a;NA;Si;;Secundaria;No;;3;No;;00:10:00.000-05:00;Si;00:15:00.000-05:00;Si;Si;No;Si;0;0;1;0;0;0;0;0;0;Trabajador/a por cuenta propia en actividades agropecuarias;Ni de acuerdo ni en desacuerdo;No;NA;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Si;No;No;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De manera compartida;De algunas tareas;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;NS/NR;En desacuerdo;En desacuerdo;Muy malo;Bueno;Bueno;Bueno;Bueno;Muy de acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo;De acuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;De acuerdo;Confia mucho;Confia poco;Confia poco;Confia poco;No confia ni mucho ni poco;Confia;Confia;No confia;Si;Comunidad campesina ;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Buena;Regular;Regular;Buena;Regular;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo
388;telefonico;Base;Vichayal;Vichayal;Mala;Poco;35;Mujer;Mestizo/a;Soltero/a;NA;No;Hijo/a;Secundaria;No;;3;No;;00:05:00.000-05:00;Si;00:40:00.000-05:00;Si;Si;No;Si;1;0;0;0;0;0;0;0;0;Empleado/a en empresa o negocio en actividades agropecuarias;En desacuerdo;No;NA;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Si;No;Si;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De manera compartida;De muchas tareas;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Regular;Regular;Bueno;Regular;Bueno;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Confia mucho;Confia poco;Confia poco;Confia poco;No confia ni mucho ni poco;Confia;No confia ni mucho ni poco;No confia;No;;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Regular;Regular;Mala;Buena;Mala;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo
389;telefonico;Ola 1;La Bocana;La Bocana;Regular;Mucho;23;Hombre;Mestizo/a;Soltero/a;NA;No;Hijo/a;Primaria;No;;9;Si;00:15:00.000-05:00;00:10:00.000-05:00;Si;00:15:00.000-05:00;Si;Si;No;Si;1;1;0;0;0;0;0;0;0;Empleado/a en empresa o negocio en actividades no agropecuarias;Ni de acuerdo ni en desacuerdo;No;NA;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Si;No;No;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Otro hombre dentro del hogar;De algunas tareas;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Regular;Regular;Bueno;Bueno;Bueno;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Confia;Confia poco;Confia poco;Confia poco;No confia ni mucho ni poco;Confia;No confia ni mucho ni poco;Confia poco;Si;Juntos por un mejor futuro ;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Regular;Buena;Regular;Regular;Buena;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo
390;telefonico;Ola 1;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Buena;Mucho;20;Mujer;Mestizo/a;Soltero/a;NA;No;Hijo/a;Secundaria;Si;Universidad;5;Si;00:10:00.000-05:00;00:15:00.000-05:00;No;;Si;Si;Si;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Si;No;No;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Otro hombre dentro del hogar;De algunas tareas;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Regular;Regular;Bueno;NS/NR;Muy bueno;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Confia mucho;No confia ni mucho ni poco;Confia poco;Confia poco;No confia ni mucho ni poco;Confia;No confia ni mucho ni poco;Confia poco;Si;Colanetas;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Regular;Regular;Regular;Regular;Regular;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo
391;telefonico;Ola 1;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Buena;Mucho;18;Mujer;Mestizo/a;Soltero/a;NA;No;Hijo/a;Secundaria;No;;5;Si;00:10:00.000-05:00;00:10:00.000-05:00;No;;Si;Si;Si;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;No;No;No;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Otro hombre dentro del hogar;De algunas tareas;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;Regular;Bueno;Regular;NS/NR;Bueno;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Confia mucho;No confia ni mucho ni poco;No confia ni mucho ni poco;No confia ni mucho ni poco;Confia poco;Confia;No confia ni mucho ni poco;Confia poco;No;;En desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Regular;Regular;Mala;Regular;Mala;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo
392;telefonico;Ola 1;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Regular;Mucho;19;Hombre;Mestizo/a;Soltero/a;NA;No;Hijo/a;Secundaria;No;;13;Si;00:15:00.000-05:00;00:10:00.000-05:00;Si;00:20:00.000-05:00;Si;Si;Si;Si;0;1;0;1;0;0;0;0;0;Empleado/a en empresa o negocio en actividades no agropecuarias;Ni de acuerdo ni en desacuerdo;No;NA;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Si;No;No;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Otro hombre dentro del hogar;De algunas tareas;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;NS/NR;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Regular;Regular;Bueno;Bueno;Bueno;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Confia mucho;Confia poco;Confia poco;Confia poco;Confia poco;Confia;No confia ni mucho ni poco;Confia poco;Si;Proyecto Juvenil ;En desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Regular;Regular;Regular;Regular;Regular;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo
393;telefonico;Ola 1;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Regular;Ni mucho ni poco;20;Mujer;Mestizo/a;Soltero/a;NA;No;Hijo/a;Secundaria;Si;Tecnico;4;No;;00:10:00.000-05:00;No;;Si;Si;Si;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Si;No;No;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;Otra mujer dentro del hogar;De muchas tareas;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Regular;Regular;Bueno;NS/NR;Bueno;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Confia mucho;Confia poco;No confia ni mucho ni poco;No confia ni mucho ni poco;Confia poco;Confia;No confia ni mucho ni poco;Confia poco;Si;suenos de apoyo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Regular;Regular;Regular;Regular;Regular;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo
394;Presencial;Ola 2;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Regular;Poco;52;Hombre;Mestizo/a;Casado/a;NA;Si;;Secundaria;No;;4;No;;00:20:00.000-05:00;Si;00:20:00.000-05:00;Si;Si;No;Si;1;0;0;0;0;0;0;0;0;Empleado/a en empresa o negocio en actividades agropecuarias;Ni de acuerdo ni en desacuerdo;No;NA;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Si;Si;Si;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De manera compartida;De ninguna tarea;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Regular;Bueno;Regular;Regular;Bueno;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Confia;Confia poco;Confia poco;Confia poco;Confia poco;Confia poco;No confia ni mucho ni poco;Confia poco;No;;De acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Mala;Mala;Mala;Mala;Mala;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo
395;Presencial;Ola 2;Miramar;Miramar ;Regular;Poco;68;Hombre;Mestizo/a;Union libre;NA;Si;;Primaria;No;;3;No;;00:25:00.000-05:00;No;;Si;Si;No;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Si;Si;Si;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De manera compartida;De ninguna tarea;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Regular;Regular;Regular;Regular;Bueno;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;NS/NR;Ni de acuerdo ni en desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Confia;Confia poco;Confia poco;Confia poco;Confia poco;Confia poco;No confia ni mucho ni poco;No confia;No;;De acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Mala;Regular;Regular;Mala;Regular;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;De acuerdo
396;Presencial;Ola 1;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Regular;Mucho;22;Hombre;Mestizo/a;Soltero/a;NA;No;Hijo/a;Profesional o tecnico;No;;4;Si;00:10:00.000-05:00;00:05:00.000-05:00;No;;Si;Si;Si;Si;0;0;0;1;0;0;0;0;0;Trabajador/a por cuenta propia en actividades no agropecuarias;Muy de acuerdo;No;NA;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;No;No;No;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Otra mujer dentro del hogar;De ninguna tarea;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Regular;Regular;Regular;Muy bueno;Muy bueno;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Confia mucho;No confia;No confia;Confia mucho;No confia;No confia ni mucho ni poco;No confia;No confia;No;;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy buena;Mala;Buena;Muy buena;Buena;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Muy de acuerdo;Muy en desacuerdo;Muy de acuerdo;Muy en desacuerdo
397;Presencial;Ola 1;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Regular;Demasiado;22;Mujer;Mestizo/a;Union libre;NA;No;Conyuge o pareja;Secundaria;No;;3;No;;00:15:00.000-05:00;Si;00:15:00.000-05:00;Si;Si;Si;Si;0;0;0;1;0;0;0;0;0;Trabajador/a por cuenta propia en actividades no agropecuarias;De acuerdo;No;NA;Muy de acuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Si;Si;Si;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Su pareja;De todas las tareas;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;Malo;Bueno;Regular;Bueno;Muy bueno;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Confia mucho;No confia;Confia poco;Confia poco;No confia;No confia ni mucho ni poco;No confia ni mucho ni poco;Confia poco;No;;De acuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Buena;Regular;Regular;Buena;Regular;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;Muy en desacuerdo
398;telefonico;Ola 1;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Regular;Mucho;25;Mujer;Mestizo/a;Soltero/a;NA;Si;;Profesional o tecnico;No;;3;No;;00:03:00.000-05:00;Si;00:05:00.000-05:00;Si;Si;Si;Si;1;0;0;0;0;0;0;0;0;Empleado/a en empresa o negocio en actividades agropecuarias;Muy de acuerdo;No;NA;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;No;No;No;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;De acuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Muy en desacuerdo;Usted;De algunas tareas;En desacuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Regular;Regular;Bueno;Bueno;Bueno;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;Confia;No confia ni mucho ni poco;Confia poco;Confia;Confia poco;Confia;No confia ni mucho ni poco;No confia;Si;Comunero;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Regular;Regular;Mala;Regular;Regular;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo
399;telefonico;Ola 2;Pueblo Nuevo de Colan;Pueblo Nuevo de Colan;Regular;Mucho;30;Hombre;Mestizo/a;Union libre;NA;Si;;Secundaria;No;;2;No;;00:20:00.000-05:00;Si;01:00:00.000-05:00;No;No;No;Si;0;0;0;1;0;0;0;0;0;Trabajador/a por cuenta propia en actividades no agropecuarias;De acuerdo;No;NA;En desacuerdo;Muy de acuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Si;Si;No;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Usted;De algunas tareas;En desacuerdo;De acuerdo;Muy de acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy malo;Malo;Malo;Bueno;Bueno;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy de acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;No confia ni mucho ni poco;No confia;Confia poco;Confia;No confia ni mucho ni poco;Confia poco;No confia;Confia poco;No;;En desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Regular;Muy mala;Mala;Muy mala;Mala;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo
